
# =====================================
# FECHA: 27/05/2026 13:49 PM
# =====================================
24.7 47.6 776.54 1.0 1350.0
24.8 47.5 776.49 1.0 1341.0
24.8 47.6 776.44 1.0 1343.0
24.7 47.7 776.53 1.0 1353.0
24.7 47.8 776.52 1.0 1336.0
24.7 47.6 776.5 1.0 1342.0
24.8 47.6 776.5 1.0 1344.0
24.7 47.6 776.48 1.0 1346.0
24.7 47.6 776.47 1.0 1351.0
24.7 47.7 776.46 1.0 1344.0
24.7 47.8 776.52 1.0 1335.0
24.7 47.8 776.47 1.0 1325.0
24.7 47.8 776.51 1.0 1337.0
24.7 47.8 776.5 1.0 1354.0
24.7 48.0 776.45 1.0 1334.0
24.7 48.0 776.48 1.0 1344.0
24.6 48.1 776.55 1.0 1346.0
24.7 48.2 776.52 1.0 1331.0
24.7 48.1 776.45 1.0 1341.0
24.7 48.2 776.52 1.0 1342.0
24.6 48.2 776.53 1.0 1348.0
24.6 48.2 776.53 1.0 1329.0
24.6 48.3 776.5 1.0 1353.0
24.6 48.2 776.51 1.0 1331.0
24.6 48.3 776.51 1.0 1342.0
24.6 48.4 776.53 1.0 1335.0
24.6 48.3 776.51 1.0 1353.0
24.7 48.4 776.5 1.0 1335.0
24.6 48.3 776.54 1.0 1342.0
24.6 48.3 776.53 1.0 1333.0
24.6 48.3 776.55 1.0 1344.0
24.6 48.3 776.52 1.0 1344.0
24.6 48.2 776.51 1.0 1334.0
24.6 48.2 776.51 1.0 1342.0
24.6 48.1 776.5 1.0 1342.0
24.6 48.1 776.54 1.0 1343.0
24.6 48.1 776.54 1.0 1357.0
24.6 48.1 776.53 1.0 1333.0
24.6 48.2 776.51 1.0 1331.0
24.6 48.1 776.57 1.0 1342.0
24.6 48.2 776.55 1.0 1328.0
24.6 48.4 776.54 1.0 1360.0
24.6 48.4 776.55 1.0 1360.0
24.6 48.2 776.56 1.0 1349.0
24.6 48.1 776.53 1.0 1342.0
24.6 48.2 776.56 1.0 1343.0
24.6 48.1 776.55 1.0 1356.0
24.6 48.2 776.52 1.0 1335.0
24.6 48.3 776.55 1.0 1335.0
24.6 48.2 776.54 1.0 1339.0
24.6 48.1 776.54 1.0 1350.0
24.5 47.7 776.57 1.0 1349.0
24.6 48.1 776.57 1.0 1337.0
24.6 48.1 776.57 1.0 1338.0
24.6 48.1 776.55 1.0 1345.0
24.6 48.2 776.52 1.0 1343.0
24.6 47.8 776.56 1.0 1346.0
24.6 47.8 776.56 1.0 1344.0

# =====================================
# FECHA: 27/05/2026 14:05 PM
# =====================================
24.6 47.8 776.52 1.0 1333.0
24.6 48.2 776.55 1.0 1338.0
24.6 48.2 776.52 1.0 1335.0
24.6 48.2 776.51 1.0 1344.0
24.6 48.2 776.54 1.0 1342.0
24.6 48.2 776.55 1.0 1345.0
24.6 48.3 776.54 1.0 1345.0
24.6 48.3 776.54 1.0 1331.0
24.6 48.4 776.53 1.0 1349.0
24.6 48.3 776.5 1.0 1346.0
24.6 48.3 776.54 1.0 1351.0
24.6 47.8 776.53 1.0 1342.0
24.6 48.2 776.5 1.0 1344.0
24.6 48.2 776.52 1.0 1349.0
24.6 48.1 776.54 1.0 1344.0
24.6 48.1 776.51 1.0 1339.0
24.6 49.0 776.55 1.0 1347.0
24.6 48.5 776.56 1.0 1330.0
24.6 48.8 776.55 1.0 1337.0
24.6 48.8 776.54 1.0 1344.0
24.6 48.7 776.53 1.0 1344.0
24.6 48.5 776.51 1.0 1343.0
24.6 49.0 776.52 1.0 1328.0
24.6 48.8 776.54 1.0 1348.0
24.5 48.5 776.54 1.0 1344.0
24.6 49.0 776.52 1.0 1345.0
24.6 49.0 776.52 1.0 1341.0
24.6 48.9 776.51 1.0 1343.0
24.6 48.7 776.5 1.0 1343.0
24.6 48.7 776.49 1.0 1348.0
24.5 48.2 776.49 1.0 1344.0
24.6 48.5 776.5 1.0 1354.0
24.5 48.0 776.51 1.0 1353.0
24.6 48.5 776.5 1.0 1337.0
24.5 48.1 776.47 1.0 1337.0
24.5 48.0 776.48 1.0 1343.0
24.6 48.3 776.47 1.0 1350.0
24.5 48.0 776.48 1.0 1346.0
24.6 48.4 776.43 1.0 1343.0
24.5 47.9 776.46 1.0 1344.0
24.5 47.9 776.48 1.0 1354.0
24.5 48.0 776.47 1.0 1344.0
24.5 48.1 776.45 1.0 1350.0
24.5 48.2 776.49 1.0 1335.0
24.5 48.2 776.46 1.0 1349.0
24.5 48.1 776.45 1.0 1341.0
24.5 48.2 776.45 1.0 1349.0
24.5 48.2 776.45 1.0 1363.0
24.5 48.3 776.44 1.0 1353.0
24.5 48.6 776.44 1.0 1330.0
24.5 48.7 776.43 1.0 1366.0
24.5 48.8 776.41 1.0 1354.0
24.5 48.8 776.42 1.0 1349.0
24.5 48.6 776.45 1.0 1350.0
24.5 48.7 776.42 1.0 1350.0
24.5 48.7 776.43 1.0 1349.0
24.5 48.5 776.38 1.0 1344.0
24.5 48.5 776.41 1.0 1344.0
24.5 48.4 776.39 1.0 1351.0
24.5 48.3 776.41 1.0 1346.0

# =====================================
# FECHA: 27/05/2026 14:11 PM
# =====================================
24.5 48.3 776.36 1.0 1344.0
24.5 48.4 776.34 1.0 1334.0
24.5 48.4 776.34 1.0 1341.0
24.5 48.5 776.36 1.0 1342.0
24.5 48.6 776.36 1.0 1330.0
24.5 48.5 776.34 1.0 1338.0
24.5 48.6 776.33 1.0 1341.0
24.5 48.7 776.37 1.0 1331.0
24.5 48.8 776.37 1.0 1351.0
24.5 48.8 776.36 1.0 1329.0
24.5 48.9 776.34 1.0 1346.0
24.5 48.9 776.33 1.0 1351.0
24.5 48.9 776.36 1.0 1344.0
24.5 49.0 776.3 1.0 1332.0
24.5 48.9 776.27 1.0 1342.0
24.5 48.7 776.31 1.0 1342.0
24.5 48.7 776.28 1.0 1337.0
24.5 48.8 776.31 1.0 1344.0
24.5 48.7 776.28 1.0 1343.0
24.5 48.6 776.29 1.0 1341.0
24.5 48.7 776.28 1.0 1335.0
24.5 48.6 776.26 1.0 1327.0
24.5 48.8 776.24 1.0 1329.0
24.5 48.6 776.22 1.0 1341.0
